time,latitude,longitude,speed,direction,date,magnetic declination,status,facing,facing2,sys_timestamp
071905.60,3106.79433001,10345.46859919,0.005,359.9,090925,2.0,A,North,East,1757402345.1632962
071905.70,3106.79433048,10345.46859871,0.004,9.0,090925,2.0,A,North,East,1757402345.2685702
071905.80,3106.79433081,10345.46859833,0.002,50.1,090925,2.0,A,North,East,1757402345.3730674
071905.90,3106.79433113,10345.46859801,0.004,69.9,090925,2.0,A,North,East,1757402345.4643612
071906.00,3106.79433147,10345.46859769,0.005,64.8,090925,2.0,A,North,East,1757402345.5736568
071906.10,3106.79433178,10345.46859736,0.004,49.6,090925,2.0,A,North,East,1757402345.6695251
071906.20,3106.79433210,10345.46859703,0.004,35.9,090925,2.0,A,North,East,1757402345.7655654
071906.30,3106.79433242,10345.46859668,0.003,42.6,090925,2.0,A,North,East,1757402345.8673227
071906.40,3106.79433274,10345.46859634,0.003,45.0,090925,2.0,A,North,East,1757402345.967225
071906.50,3106.79433308,10345.46859600,0.004,41.8,090925,2.0,A,North,East,1757402346.0686655
071906.60,3106.79433343,10345.46859563,0.004,12.5,090925,2.0,A,North,East,1757402346.1684635
071906.70,3106.79433381,10345.46859525,0.005,2.9,090925,2.0,A,North,East,1757402346.271775
071906.80,3106.79433419,10345.46859488,0.006,357.4,090925,2.0,A,North,East,1757402346.3707087
071906.90,3106.79433457,10345.46859450,0.007,348.3,090925,2.0,A,North,East,1757402346.463851
071907.00,3106.79433470,10345.46859433,0.004,8.5,090925,2.0,A,North,East,1757402346.574498
071907.10,3106.79433481,10345.46859421,0.004,30.5,090925,2.0,A,North,East,1757402346.6710548
071907.20,3106.79433489,10345.46859407,0.003,18.2,090925,2.0,A,North,East,1757402346.7691345
071907.30,3106.79433507,10345.46859394,0.008,13.7,090925,2.0,A,North,East,1757402346.8710296
071907.40,3106.79433531,10345.46859378,0.012,1.6,090925,2.0,A,North,East,1757402346.969272
071907.50,3106.79433552,10345.46859361,0.011,356.7,090925,2.0,A,North,East,1757402347.0648417
071907.60,3106.79433570,10345.46859339,0.010,333.8,090925,2.0,A,North,East,1757402347.163388
071907.70,3106.79433577,10345.46859317,0.003,294.4,090925,2.0,A,North,East,1757402347.265738
071907.80,3106.79433583,10345.46859302,0.001,92.7,090925,2.0,A,North,East,1757402347.371157
071907.90,3106.79433590,10345.46859290,0.003,41.8,090925,2.0,A,North,East,1757402347.4649336
071908.00,3106.79433599,10345.46859272,0.003,345.6,090925,2.0,A,North,East,1757402347.5737078
